code,name,price,pct_change,amount,main_net,main_pct,super_net,large_net,medium_net,small_net,period,updated_at
300502,新易盛,562.44,1.89,9680171038.32,937654816.0,9.69,802155104.0,135499712.0,-932893056.0,-4761762.0,即时,2026-06-24 10:11:21
002156,通富微电,71.73,4.84,6190830836.16,613508528.0,9.91,553736768.0,59771760.0,-269626128.0,-343882400.0,即时,2026-06-24 10:11:20
002185,华天科技,20.56,5.22,5395522764.95,459369248.0,8.51,282861504.0,176507744.0,-129018048.0,-330351184.0,即时,2026-06-24 10:11:20
603083,剑桥科技,262.21,10.0,3903060209.0,450832176.0,11.55,418211856.0,32620320.0,-254770208.0,-196009536.0,即时,2026-06-24 10:11:22
300620,光库科技,396.6,3.14,2810233232.72,263915184.0,9.39,133177632.0,130737552.0,-244767664.0,-19147531.0,即时,2026-06-24 10:11:21
001309,德明利,772.66,2.34,5099425739.87,224080432.0,4.39,231827424.0,-7746992.0,-223903264.0,-177149.0,即时,2026-06-24 10:11:20
601138,工业富联,75.37,1.71,4953845271.0,193083040.0,3.9,165802736.0,27280304.0,-62001360.0,-131126912.0,即时,2026-06-24 10:11:21
603005,晶方科技,48.69,2.94,2602468853.0,167994064.0,6.46,105585152.0,62408912.0,-15573424.0,-152415744.0,即时,2026-06-24 10:11:21
603256,宏和科技,267.5,7.91,1902933700.0,153885237.0,8.09,170770005.0,-16884768.0,-103357104.0,-50501392.0,即时,2026-06-24 10:11:22
002484,江海股份,98.9,4.66,2175429474.86,125882832.0,5.79,169429648.0,-43546816.0,-15295024.0,-110587808.0,即时,2026-06-24 10:11:20
002463,沪电股份,141.68,2.3,3296476127.65,108884800.0,3.3,112345760.0,-3460960.0,-36072080.0,-72812736.0,即时,2026-06-24 10:11:20
301396,宏景科技,256.33,3.36,1339003082.04,76340803.0,5.7,60476051.0,15864752.0,-9461072.0,-66879746.0,即时,2026-06-24 10:11:21
300671,富满微,70.91,11.79,1119248698.62,73989383.0,6.61,111461415.0,-37472032.0,2294336.0,-76283720.0,即时,2026-06-24 10:11:21
301511,德福科技,145.81,4.09,2590791790.1,72301968.0,2.79,-205737024.0,278038992.0,2894096.0,-75196048.0,即时,2026-06-24 10:11:21
002409,雅克科技,166.45,5.8,2309708767.2,64218752.0,2.78,39200096.0,25018656.0,-25531680.0,-38687088.0,即时,2026-06-24 10:11:20
301293,三博脑科,56.21,7.25,613868401.13,56706412.0,9.24,18986827.0,37719585.0,-1309692.0,-55396721.0,即时,2026-06-24 10:11:21
603186,华正新材,246.94,6.62,1516721944.0,55181584.0,3.64,95045792.0,-39864208.0,-98015552.0,42858680.0,即时,2026-06-24 10:11:22
002436,兴森科技,50.69,4.52,4107275108.98,54172736.0,1.32,46952992.0,7219744.0,-45203792.0,-8968944.0,即时,2026-06-24 10:11:20
301183,东田微,260.89,4.94,842368291.28,49920341.0,5.93,39544949.0,10375392.0,-48692296.0,-1228043.0,即时,2026-06-24 10:11:21
300548,长芯博创,287.95,0.67,2322396055.37,40715904.0,1.75,23544752.0,17171152.0,-34728768.0,-5987152.0,即时,2026-06-24 10:11:21
603283,赛腾股份,68.43,4.81,972854644.0,34491998.0,3.55,70091059.0,-35599061.0,-22370944.0,-12150477.0,即时,2026-06-24 10:11:22
002943,宇晶股份,52.16,9.44,369571867.66,34242359.0,9.27,2030458.0,32211901.0,-20938358.0,-13304000.0,即时,2026-06-24 10:11:21
300308,中际旭创,1314.04,0.31,11700738312.65,32783872.0,0.28,156423680.0,-123639808.0,-32629728.0,-154049.0,即时,2026-06-24 10:11:21
002050,三花智控,43.78,1.37,1288593022.46,30381220.0,2.36,41713460.0,-11332240.0,-35179136.0,4797920.0,即时,2026-06-24 10:11:20
300623,捷捷微电,41.94,-0.73,1225820904.39,23600350.0,1.93,-15757506.0,39357856.0,-5628672.0,-17971680.0,即时,2026-06-24 10:11:21
002456,欧菲光,9.13,0.88,392596198.2,23496359.0,5.98,9650504.0,13845855.0,-12232773.0,-11263586.0,即时,2026-06-24 10:11:20
603895,天永智能,30.44,-6.71,165621128.0,22330241.0,13.48,11268507.0,11061734.0,3135588.0,-25465829.0,即时,2026-06-24 10:11:22
300567,精测电子,225.81,6.21,1041429987.59,22322364.0,2.14,96264498.0,-73942134.0,-37375200.0,15052823.0,即时,2026-06-24 10:11:21
603501,豪威集团,89.79,2.38,575690139.0,22222070.0,3.86,24896859.0,-2674789.0,-2369051.0,-19763274.0,即时,2026-06-24 10:11:22
000938,紫光股份,27.02,0.41,859412028.42,21673002.0,2.52,8805932.0,12867070.0,-25151883.0,3478874.0,即时,2026-06-24 10:11:20
603893,瑞芯微,183.03,1.6,655879656.0,21664069.0,3.3,10050822.0,11613247.0,-16833034.0,-4831035.0,即时,2026-06-24 10:11:22
000338,潍柴动力,29.96,-0.33,649339564.43,20395987.0,3.14,47510961.0,-27114974.0,14098670.0,-34494656.0,即时,2026-06-24 10:11:20
300604,长川科技,284.93,1.98,3913890168.84,16899712.0,0.43,-11425296.0,28325008.0,-28383152.0,11483440.0,即时,2026-06-24 10:11:21
301510,固高科技,33.7,0.72,151435892.0,15695164.0,10.36,1723428.0,13971736.0,-8704193.0,-6990971.0,即时,2026-06-24 10:11:21
300342,天银机电,43.06,2.84,445356270.1,15412354.0,3.46,9656158.0,5756196.0,-19510267.0,4097912.0,即时,2026-06-24 10:11:21
301312,智立方,113.56,6.13,298010557.47,13965167.0,4.69,8090410.0,5874757.0,3702439.0,-17667605.0,即时,2026-06-24 10:11:21
002976,瑞玛精密,33.53,5.11,278555958.94,13850518.0,4.97,13506288.0,344230.0,-7116074.0,-6734442.0,即时,2026-06-24 10:11:21
300782,卓胜微,111.52,-2.11,1265039084.38,13431408.0,1.06,-2423424.0,15854832.0,-36786080.0,23354685.0,即时,2026-06-24 10:11:21
300394,天孚通信,313.25,0.7,3745270896.25,12799216.0,0.34,-61166128.0,73965344.0,-15554976.0,2755776.0,即时,2026-06-24 10:11:21
002367,康力电梯,6.21,3.67,85887574.0,12563979.0,14.63,5288925.0,7275054.0,-1800233.0,-10763745.0,即时,2026-06-24 10:11:20
605133,嵘泰股份,36.75,-1.08,126236729.0,12077454.0,9.57,5612176.0,6465278.0,-2878648.0,-9198806.0,即时,2026-06-24 10:11:22
002833,弘亚数控,18.1,0.89,138487009.67,11318423.0,8.17,15688073.0,-4369650.0,2819022.0,-14137444.0,即时,2026-06-24 10:11:21
300227,光韵达,11.69,3.18,129486808.0,10351591.0,7.99,967378.0,9384213.0,2329031.0,-12680621.0,即时,2026-06-24 10:11:21
002815,崇达技术,17.95,0.96,435874962.43,9253013.0,2.12,8153767.0,1099246.0,-6887392.0,-2365620.0,即时,2026-06-24 10:11:21
603416,信捷电气,53.09,-1.59,45948114.0,9019391.0,19.63,8380897.0,638494.0,-5640865.0,-3378526.0,即时,2026-06-24 10:11:22
300378,鼎捷数智,37.42,1.46,124695750.42,8086664.0,6.49,6311490.0,1775174.0,-4134527.0,-3952137.0,即时,2026-06-24 10:11:21
002792,通宇通讯,35.49,1.43,242528596.0,7871870.0,3.25,3960322.0,3911548.0,-5376919.0,-2494951.0,即时,2026-06-24 10:11:21
301330,熵基科技,27.65,0.99,64493156.76,7717294.0,11.97,1643654.0,6073640.0,-98443.0,-7618851.0,即时,2026-06-24 10:11:21
300011,鼎汉技术,6.65,5.72,117016483.98,7319981.0,6.26,2362257.0,4957724.0,5978251.0,-13298233.0,即时,2026-06-24 10:11:21
301489,思泉新材,164.72,-0.44,782203059.46,6967057.0,0.89,14066541.0,-7099484.0,2678023.0,-9645080.0,即时,2026-06-24 10:11:21
300420,五洋自控,7.67,-1.67,631552403.48,6624791.0,1.05,10746790.0,-4121999.0,4721847.0,-11346638.0,即时,2026-06-24 10:11:21
300461,田中精机,41.08,-10.6,230888449.0,6624281.0,2.87,-12305256.0,18929537.0,-438857.0,-6185424.0,即时,2026-06-24 10:11:21
