code,name,price,pct_change,amount,main_net,main_pct,super_net,large_net,medium_net,small_net,period,updated_at
000938,紫光股份,39.08,9.99,11073400561.72,1486517696.0,13.42,2080089024.0,-593571328.0,-786667872.0,-699849824.0,即时,2026-07-16 11:05:36
002475,立讯精密,62.7,3.69,5682156820.63,922605232.0,16.24,507677136.0,414928096.0,-395286928.0,-527318304.0,即时,2026-07-16 11:05:37
603228,景旺电子,72.14,10.0,2402631440.0,690717328.0,28.75,849640416.0,-158923088.0,-362733096.0,-327883245.0,即时,2026-07-16 11:05:39
603893,瑞芯微,231.55,10.0,3479375587.0,550463648.0,15.82,712058944.0,-161595296.0,-319454240.0,-231009392.0,即时,2026-07-16 11:05:39
002384,东山精密,270.8,3.17,20086889546.29,541415424.0,2.7,1663370240.0,-1121954816.0,-512772960.0,-28642512.0,即时,2026-07-16 11:05:37
000063,中兴通讯,40.32,2.21,9231076054.01,505670496.0,5.48,447760608.0,57909888.0,-229415136.0,-276255392.0,即时,2026-07-16 11:05:36
002463,沪电股份,139.66,1.77,6951772222.26,476020960.0,6.85,408489472.0,67531488.0,-125858432.0,-350162544.0,即时,2026-07-16 11:05:37
002156,通富微电,79.05,0.43,12871524669.45,399058832.0,3.1,367020576.0,32038256.0,-283401984.0,-115656848.0,即时,2026-07-16 11:05:37
603186,华正新材,181.32,4.79,2524843975.0,371833392.0,14.73,322375056.0,49458336.0,-206257024.0,-165576368.0,即时,2026-07-16 11:05:39
002938,鹏鼎控股,105.9,2.79,2522520210.52,332035664.0,13.16,132118528.0,199917136.0,-214614224.0,-117421424.0,即时,2026-07-16 11:05:37
300567,精测电子,273.05,-8.09,3187374413.91,284610944.0,8.93,73110624.0,211500320.0,-143441664.0,-141169296.0,即时,2026-07-16 11:05:38
002241,歌尔股份,23.39,5.12,2389249677.17,267000416.0,11.18,194888704.0,72111712.0,-93363568.0,-173636848.0,即时,2026-07-16 11:05:37
603118,共进股份,13.96,8.47,1086522839.0,184249726.0,16.96,194940623.0,-10690897.0,-118369200.0,-65869358.0,即时,2026-07-16 11:05:39
002594,比亚迪,93.57,1.97,2629679107.21,178886032.0,6.8,106704416.0,72181616.0,-93709984.0,-85176032.0,即时,2026-07-16 11:05:37
300454,深信服,113.57,4.38,1754363610.17,157725959.0,8.99,60786711.0,96939248.0,-547872.0,-157178096.0,即时,2026-07-16 11:05:38
000034,神州数码,27.59,7.15,1871285646.5,153581360.0,8.21,124610160.0,28971200.0,-59665840.0,-93915504.0,即时,2026-07-16 11:05:36
300496,中科创达,58.15,8.07,1112537743.06,148839576.0,13.38,91836325.0,57003251.0,-71404800.0,-77434767.0,即时,2026-07-16 11:05:38
603501,豪威集团,111.8,0.61,3030974581.0,132818960.0,4.38,-14959552.0,147778512.0,-123915312.0,-8881296.0,即时,2026-07-16 11:05:39
002050,三花智控,42.27,1.86,1683427519.46,124952929.0,7.42,118378209.0,6574720.0,-44299520.0,-80653408.0,即时,2026-07-16 11:05:36
000066,中国长城,16.89,2.3,1885884613.29,113732752.0,6.03,56159168.0,57573584.0,11758960.0,-125491712.0,即时,2026-07-16 11:05:36
002025,航天电器,75.0,6.59,1010683719.89,110974088.0,10.98,46665670.0,64308418.0,-19331040.0,-91643040.0,即时,2026-07-16 11:05:36
300458,全志科技,39.39,4.73,2498737650.88,99851895.0,4.0,65215111.0,34636784.0,-90122304.0,-9729584.0,即时,2026-07-16 11:05:38
300339,润和软件,37.02,3.78,734799811.44,97532576.0,13.27,35950247.0,61582329.0,-39675188.0,-57857382.0,即时,2026-07-16 11:05:37
301236,软通动力,41.0,2.71,943306432.29,97453483.0,10.33,65871577.0,31581906.0,-48875200.0,-48578279.0,即时,2026-07-16 11:05:38
603327,福蓉科技,8.57,10.01,156847597.0,87116975.0,55.54,106487177.0,-19370202.0,-44756222.0,-42360752.0,即时,2026-07-16 11:05:39
002230,科大讯飞,42.23,2.13,1132919935.15,81902035.0,7.23,41042227.0,40859808.0,-16711888.0,-65190166.0,即时,2026-07-16 11:05:37
300083,创世纪,12.54,8.1,1311593244.71,77467546.0,5.91,29048810.0,48418736.0,-115936.0,-77351616.0,即时,2026-07-16 11:05:37
301165,锐捷网络,105.47,4.74,1965982675.2,73719788.0,3.75,44799164.0,28920624.0,-48617568.0,-25102224.0,即时,2026-07-16 11:05:38
603236,移远通信,53.45,5.36,621291478.0,73427123.0,11.82,46671363.0,26755760.0,-23598042.0,-49829081.0,即时,2026-07-16 11:05:39
002472,双环传动,42.39,0.0,1194168562.66,70508659.0,5.9,31792771.0,38715888.0,-17336768.0,-53171872.0,即时,2026-07-16 11:05:37
000100,TCL科技,5.03,0.2,1779811709.22,67888416.0,3.81,-70385168.0,138273584.0,-47311984.0,-20576416.0,即时,2026-07-16 11:05:36
300433,蓝思科技,39.47,1.7,2868485655.5,65088944.0,2.27,143755472.0,-78666528.0,6380928.0,-71469872.0,即时,2026-07-16 11:05:38
300274,阳光电源,109.74,0.73,3603463081.55,63964976.0,1.78,133880080.0,-69915104.0,-59352208.0,-4612784.0,即时,2026-07-16 11:05:37
301171,易点天下,29.64,3.2,738543905.29,62658548.0,8.48,25027446.0,37631102.0,-24758663.0,-37899882.0,即时,2026-07-16 11:05:38
002195,岩山科技,6.19,3.34,631666139.41,57136294.0,9.05,43963508.0,13172786.0,-37140299.0,-19995995.0,即时,2026-07-16 11:05:37
300024,机器人,15.49,2.86,583704614.87,53420798.0,9.15,-7103659.0,60524457.0,2195097.0,-55615895.0,即时,2026-07-16 11:05:37
301377,鼎泰高科,465.92,-0.42,1194847385.12,53237168.0,4.46,14423296.0,38813872.0,-53237168.0,0.0,即时,2026-07-16 11:05:38
002281,光迅科技,217.4,1.13,5249542072.56,51778976.0,0.99,8886160.0,42892816.0,-100036816.0,48257840.0,即时,2026-07-16 11:05:37
002829,星网宇达,18.84,9.98,207162147.68,51645501.0,24.93,51491737.0,153764.0,-28646221.0,-22999280.0,即时,2026-07-16 11:05:37
301191,菲菱科思,116.69,1.85,672785654.01,50360249.0,7.49,15615221.0,34745028.0,-364914.0,-49995333.0,即时,2026-07-16 11:05:38
603728,鸣志电器,56.2,2.91,343268515.0,48897567.0,14.24,16231406.0,32666161.0,-24978776.0,-23918791.0,即时,2026-07-16 11:05:39
603083,剑桥科技,205.68,-1.16,2481406361.0,46954224.0,1.89,-43298208.0,90252432.0,947488.0,-47881152.0,即时,2026-07-16 11:05:39
002896,中大力德,72.34,2.06,379216399.59,46223816.0,12.19,20733587.0,25490229.0,-23316052.0,-22907764.0,即时,2026-07-16 11:05:37
002484,江海股份,83.21,-5.29,2635820016.0,43468160.0,1.65,-17008656.0,60476816.0,-123604672.0,80136528.0,即时,2026-07-16 11:05:37
002179,中航光电,34.62,-0.86,473755564.27,40125151.0,8.47,6403578.0,33721573.0,-15608093.0,-24517058.0,即时,2026-07-16 11:05:37
