date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2026-03-20,300468,36.71,35.76,36.72,35.44,423249,1525607126.0,3.45,-3.56,-1.32,7.99
2026-03-23,300468,33.94,34.08,35.42,33.72,327588,1126831249.0,4.75,-4.7,-1.68,6.18
2026-03-24,300468,34.42,33.45,34.67,32.54,320167,1071618092.0,6.25,-1.85,-0.63,6.04
2026-03-25,300468,32.55,33.01,33.56,32.55,327946,1087088626.0,3.02,-1.32,-0.44,6.19
2026-03-26,300468,33.02,30.93,33.04,30.91,350754,1114139351.0,6.45,-6.3,-2.08,6.62
2026-03-27,300468,30.23,32.06,32.63,29.95,323199,1026848031.0,8.66,3.65,1.13,6.1
2026-03-30,300468,31.31,31.38,31.71,30.47,235077,732724190.0,3.87,-2.12,-0.68,4.44
2026-03-31,300468,31.44,29.99,31.48,29.98,282017,866973596.0,4.78,-4.43,-1.39,5.32
2026-04-01,300468,30.46,29.94,30.64,29.56,256935,772034207.0,3.6,-0.17,-0.05,4.85
2026-04-02,300468,29.64,28.37,29.72,28.26,284802,823153325.0,4.88,-5.24,-1.57,5.38
2026-04-03,300468,30.44,28.54,31.04,28.54,336361,997338145.0,8.81,0.6,0.17,6.35
2026-04-07,300468,28.56,29.82,30.79,28.55,430619,1291420120.0,7.85,4.48,1.28,8.13
2026-04-08,300468,28.95,31.02,31.05,28.95,473136,1431799338.0,7.04,4.02,1.2,8.93
2026-04-09,300468,30.51,30.04,30.73,29.88,267489,809570800.0,2.74,-3.16,-0.98,5.05
2026-04-10,300468,30.42,33.76,35.39,30.2,858100,2838002353.0,17.28,12.38,3.72,16.2
2026-04-13,300468,31.94,32.8,33.34,31.84,539961,1772899037.0,4.44,-2.84,-0.96,10.19
2026-04-14,300468,32.93,32.56,33.1,32.13,370823,1209254866.0,2.96,-0.73,-0.24,7.0
2026-04-15,300468,32.44,31.52,32.7,31.31,368650,1180759779.0,4.27,-3.19,-1.04,6.96
2026-04-16,300468,31.89,31.54,32.02,31.28,246062,778394536.0,2.35,0.06,0.02,4.64
2026-04-17,300468,31.38,31.52,32.16,31.24,341353,1083070141.0,2.92,-0.06,-0.02,6.44
2026-04-20,300468,30.95,31.28,31.49,30.94,255310,799347565.0,1.74,-0.76,-0.24,4.82
2026-04-21,300468,31.22,30.38,31.22,30.28,242035,739737481.0,3.01,-2.88,-0.9,4.57
2026-04-22,300468,30.15,30.59,30.59,29.99,184888,562570315.0,1.97,0.69,0.21,3.49
2026-04-23,300468,30.4,29.61,30.64,29.55,227273,679965687.0,3.56,-3.2,-0.98,4.29
2026-04-24,300468,29.64,28.94,29.79,28.89,176033,514187670.0,3.04,-2.26,-0.67,3.32
2026-04-27,300468,28.89,29.03,29.24,28.44,165692,480520442.0,2.76,0.31,0.09,3.13
2026-04-28,300468,28.94,27.84,28.95,27.72,215277,609721862.0,4.24,-4.1,-1.19,4.06
2026-04-29,300468,27.35,28.34,28.5,27.34,157730,445961259.0,4.17,1.8,0.5,2.98
2026-04-30,300468,28.34,28.41,28.66,28.09,157592,447932986.0,2.01,0.25,0.07,2.97
2026-05-06,300468,28.72,29.24,29.51,28.71,259647,759867374.0,2.82,2.92,0.83,4.9
2026-05-07,300468,29.28,29.55,29.56,28.94,222239,651761375.0,2.12,1.06,0.31,4.19
2026-05-08,300468,29.32,29.35,29.76,29.25,172307,507582873.0,1.73,-0.68,-0.2,3.25
2026-05-11,300468,29.31,29.34,29.64,29.12,204036,597684037.0,1.77,-0.03,-0.01,3.85
2026-05-12,300468,29.57,28.96,29.59,28.81,179815,523409762.0,2.66,-1.3,-0.38,3.39
2026-05-13,300468,29.0,28.91,29.22,28.7,179371,518988246.0,1.8,-0.17,-0.05,3.39
2026-05-14,300468,29.18,27.76,29.2,27.74,214318,605086188.0,5.05,-3.98,-1.15,4.05
2026-05-15,300468,27.92,27.64,28.41,27.5,185280,517142740.0,3.28,-0.43,-0.12,3.5
2026-05-18,300468,27.52,27.59,27.87,27.15,137745,379196378.0,2.6,-0.18,-0.05,2.6
2026-05-19,300468,27.56,27.47,27.6,27.1,147436,403264122.0,1.81,-0.43,-0.12,2.78
2026-05-20,300468,27.39,27.24,27.65,26.8,178933,484895709.0,3.09,-0.84,-0.23,3.38
2026-05-21,300468,27.25,26.47,27.84,26.43,221554,603744860.0,5.18,-2.83,-0.77,4.18
2026-05-22,300468,26.45,26.4,26.71,26.06,157035,413966211.0,2.46,-0.26,-0.07,2.96
2026-05-25,300468,26.55,26.16,26.82,25.8,160340,421353388.0,3.86,-0.91,-0.24,3.03
2026-05-26,300468,25.97,26.25,26.39,25.67,161504,420515339.0,2.75,0.34,0.09,3.05
2026-05-27,300468,26.12,24.91,26.31,24.8,213371,539629953.0,5.75,-5.1,-1.34,4.03
2026-05-28,300468,24.85,25.01,25.16,24.3,174412,432978276.0,3.45,0.4,0.1,3.29
2026-05-29,300468,25.09,23.94,25.14,23.82,186972,454366665.0,5.28,-4.28,-1.07,3.53
2026-06-01,300468,24.1,24.48,25.05,24.03,199416,491653762.0,4.26,2.26,0.54,3.76
2026-06-02,300468,24.53,23.78,24.64,23.41,160150,380722580.0,5.02,-2.86,-0.7,3.02
2026-06-03,300468,23.67,23.5,23.94,23.28,150676,355808611.0,2.78,-1.18,-0.28,2.84
2026-06-04,300468,23.5,23.63,24.12,23.31,171156,405881043.0,3.45,0.55,0.13,3.23
2026-06-05,300468,23.49,23.24,23.68,23.1,179055,418897650.0,2.45,-1.65,-0.39,3.38
