日期,代码,名称,价格,仓位%,止损位,目标位,盈亏%,盈亏金额,是否按计划,备注
2026-06-29,159558,半导体设备etf,2.155,6.58%,,,109.67%,2363,,
2026-06-29,515880,通信etf,1.789,3.99%,,,-4.142%,-118,,
2026-06-29,000733,振华科技,59.941,89.4%,,,-6.87%,-4533,,

2026-06-30,159558,半导体设备etf,3.510,13.5%,,,32.344%,2610,,
2026-06-30,515880,通信etf,1.789,3.7%,,,4.723%,11,,
2026-06-30,000733,振华科技,16992,21.6%,,,-19.1%,-4013,,
2026-06-30,588940,科创50富国etf,2.235,12.8%,,,2.366%,232,,
2026-06-30,588170,科创半导体华夏etf,4.012,13.7%,,,2.986%,311,,

2026-07-01,159558,半导体设备etf,3.510,13.5%,,,33.369%,2693,,
2026-07-01,515880,通信etf,1.789,3.7%,,,-3.974%,-113,,
2026-07-01,000733,振华科技,0,0,,,0,-2329,,
2026-07-01,588940,科创50富国etf,2.236,12.8%,,,0.264%,25.80,,
2026-07-01,588170,科创半导体华夏etf,4.012,13.7%,,,4.083%,425,,
2026-07-01,000636,风华高科,75.061,9.3%,,,-0.88%,-66,,
